no,products,brand,price
1,WHOLE CHICKEN,Frozen,24
2,WHOLE CHICKEN,Chilled,24.5
3,CHICKEN BREAST (Frozen),Fine Choice,24.5
4,CHICKEN DRUMSTICK (Frozen),Fine Choice,24
5,CHICKEN THIGHS (Frozen),Fine Choice,15
6,CHICKEN WINGS (Frozen),Fine Choice,24.5
7,ECONOMY PACK (Frozen),Fine Choice,39
8,CHICKEN BREAST (Chilled),,21.18
9,CHICKEN DRUMSTICK (Chilled),,22.09
10,CHICKEN THIGHS (Chilled),,16.09
11,CHICKEN WINGS (Chilled),,22.39
12,PORK STEW,,15.45
13,BEEF STEW,,28.64
14,PIG TAIL,,24.13
15,CHICKEN FRANKS,Erin Farm,14.35
16,SALTED FISH (w/Bone),Unbranded,22.2
17,SALTED FISH (w/Bone),Branded,25
18,SALTED FISH (Boneless),Unbranded,34.23
19,SALTED FISH (Boneless),Branded,27
20,SMOKED HERRING (w/Bone),,20.22
21,FRESH BUTTER,Kerrygold,52.75
22,CHEDDAR CHEESE ,,50.9
23,COOKING MARGARINE,G/Ray,8.9
24,COOKING MARGARINE,French Maid,7.65
25,TABLE MARGARINE,Blue Band,9.45
26,TABLE MARGARINE,Flora,23.6
27,EGGS,Large,24
28,LIQUID MILK (Full Cream) ,Nestle,13.75
29,LIQUID MILK (Skimmed),Svelty,13.55
30,POWDERED MILK ,D/Dairy,52.95
31,POWDERED MILK ,D/Dairy,16.5
32,POWDERED MILK (Skimmed),D/Dairy,57.95
33,POWDERED MILK (Skimmed),D/Dairy,30.95
57,EVAPORATED MILK (Tin),Carnation,10.85
35,EVAPORATED MILK (Pack),G/Butterfly,6.5
36,CONDENSED MILK,Nestle,10
37,CONDENSED MILK,Eve,6.25
38,MACARONI,Swiss,5.8
39,SPAGHETTI,Swiss,6
40,BAKING POWDER,Lion,11.5
41,PRE PACKAGED FLOUR,Ibis,14.25
42,FLOUR,Ibis,73.3
43,PRE PACKAGED RICE (Parboiled),Happi,51.6
44,PRE PACKAGED RICE (Parboiled),Lotus,41
45,PRE PACKAGED RICE (Parboiled),Lotus,10.5
46,OATS,Cook’s Mate,4.95
47,YEAST,Fermipan,7.65
48,CORN MEAL,Regal,5.4
49,BISCUITS (Unsweetened),Crix - Original,13
50,SPLIT PEAS (Loose),,3.18
51,SPLIT PEAS (Loose),,10
52,RED BEANS (Loose), ,10.4
53,RED BEANS (Loose),,8.75
54,D/PIGEON PEAS (Loose),,9.03
55,D/PIGEON PEAS (Loose),,7.25
56,CHANNA (Loose),Large,8.77
57,CHANNA (Loose),,10.25
58,BLACK EYE PEAS (Loose),,7.47
59,BLACK EYE PEAS (Loose),,8.6
60,LENTIL (Loose),,3.63
61,LENTIL (Loose),,2.5
62,SPLIT PEAS (Pre Packaged),N/Pride,5.75
63,RED BEANS (Pre Packaged),N/Pride,10.8
64,PIGEON PEAS (Pre Packaged),N/Pride,8.85
65,CHANNA (Pre Packaged),N/Pride,9.45
66,BLACK EYE PEAS (Pre Packaged),N/Pride,8.15
67,LENTILS (Pre Packaged),N/Pride,7.9
68,CURRY POWDER,Chief ,9
69,WHITE VINEGAR,Mabel,7.6
70,POTATO,,3.61
71,ONION,,5.2
72,GARLIC,,14
73,GARLIC,,12
74,SUGAR (Loose),Brown,3.52
75,SUGAR – BROWN (Pre Packaged),Demerara,17
76,SUGAR (Granulated),Sweet Cane,19.15
77,TABLE SALT (Pre Packaged),Chief,3.25
78,TABLE SALT (Pre Packaged),Free Flow,2
79,INFANT FORMULA,SMA (0 to 6 months),193.2
80,INFANT FORMULA,Lactogen 1 (0 to 6 mths),116.3
81,INFANT FORMULA,Klim (growing up),62.15
82,INFANT CEREAL,Nestle –Rice,21.4
83,INFANT CEREAL,Nestle – Wheat & Honey,23.5
84,TOILET PAPER ,S’N’Pretty,13.4
85,TOILET SOAP,Refresh,13
86,TOOTHPASTE,Colgate,15.8
87,DISHWASHING LIQUID,Squeezy,14.35
88,SOAP POWDER,Breeze M/A,30.55
89,SOAP POWDER,Breeze M/A,14.4
90,SOAP POWDER,Radiante,15.05
91,SOAP POWDER,Radiante,7.3
92,SARDINES ,Brunswick,9.2
93,TUNA (FLAKES IN WATER),Brunswick,7.85
94,TUNA (FLAKES IN OIL),Brunswick,8.3
95,VIENNA SAUSAGE (Chicken),Santa Rosa,4.75
96,CORNED BEEF,Target,17.3
97,MILO (Pack),,42.65
98,INSTANT CHOCOLATE,Nesquik,26.65
99,OVALTINE (Pack),,31.45
100,TEA BAGS,Lipton,28.3
101,TEA BAGS (GREEN),Lipton,25.4
102,TEA BAGS (GREEN),Dilmah,26.4
103,COFFEE (INSTANT),Nestle,34.55
104,COFFEE (INSTANT),Colcafe (Red),18.2
105,MAUBY,Matouk’s,13.05
106,ORANGE DRINK,Orchard,4.1
107,ORANGE DRINK,Orchard,10
108,GRAPEFRUIT DRINK,Orchard,10.35
109,ORANGE JUICE,T/Citrus,11.5
110,ORANGE JUICE,Dole,10
111,GRAPEFRUIT JUICE,T/Citrus,11.5
112,PEANUT BUTTER,Matouk’s,12
113,VEGETABLE OIL,Richport,25
114,SOYA OIL,Eve,15.75
115,SOYA OIL,Happi,13
116,COCONUT OIL,Nariel,36.45
117,OLIVE OIL (Extra Virgin),James Plagniol,130.5
118,CORN FLAKES ,Sunshine,12.5
119,CORN FLAKES ,Sunshine,24.95
120,FROSTED FLAKES,Sunshine,16.3
121,FROSTED FLAKES,Sunshine,29.95
122,SOYA CHUNKS,Cook's Mate,17.5
123,SOYA CHUNKS,Chatak,15
124,RED BEANS,MP,5
125,BAKED BEANS,MP,6.75
126,GREEN PIGEON PEAS,MP,9.75
127,PROCESSED PIGEON PEAS,MP,6.4
128,PEAS AND CARROTS,MP,7.95
129,TOMATO KETCHUP (Bottled),Matouk’s,12.2
130,TOMATO KETCHUP (Spouch Pack),Swiss,9.15
131,MUSTARD (Squeeze Bottle),Swiss,8.7
132,MAYONNAISE (Bottled),Matouk’s,12.8
